Dictionary,Ruleset,K
all_dict/kb_change_rus,../../rules/cap/Word_sc_year.rule,1.03744817860526e-14
all_dict/kb_change_rus,../../rules/cap/Word_year.rule,1.3675163068138259e-11
all_dict/kb_change_rus,../../rules/cap/Word_year_mon.rule,1.2968102232565751e-14
all_dict/kb_change_rus,../../rules/cap/Word_year_sc.rule,2.3269865688342283e-15
all_dict/kb_change_rus,../../rules/cap/year_sc_Word.rule,3.8305778902348064e-15
all_dict/kb_change_rus,../../rules/cap/year_Word.rule,5.554337940840469e-13
all_dict/kb_change_rus,../../rules/cap/year_Word_sc.rule,4.788222362793508e-15
all_dict/kb_rus_adj_fem,../../rules/cap/1-0_sc_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/1-0_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/d_sc_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/d_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/day_cc_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/day_dd_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/day_mon_dd_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/day_Word.rule,6.8518362577259916e-12
all_dict/kb_rus_adj_fem,../../rules/cap/day_Word_dd.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/day_Word_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/day_Word_year.rule,4.1324304278113956e-14
all_dict/kb_rus_adj_fem,../../rules/cap/dd_Word.rule,2.1240692398950573e-12
all_dict/kb_rus_adj_fem,../../rules/cap/ddd_Word.rule,4.2481384797901145e-13
all_dict/kb_rus_adj_fem,../../rules/cap/dddd_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_dd_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_dddd_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_Word_d.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_Word_dd_mon_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_Word_dd_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_Word_mon_day_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_Word_year.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_Word_year_sc.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/sc_year_Word.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_2sc_dd.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_day_dd_mon.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_day_mon.rule,1.5281073668309765e-12
all_dict/kb_rus_adj_fem,../../rules/cap/Word_day_mon_dd.rule,0.0
all_dict/kb_rus_adj_fem,../../rules/cap/Word_day_mon_sc.rule,0.0
