dictionary,rule,size,k1,
kb_change_rus,word_dd_age_sc.rule,16773304212,3.861185009826581,
kb_change_rus,word_dd_sc.rule,1751278858,3.861185009826581,
kb_change_rus,word_mon_dd.rule,3250233658,3.861185009826581,
kb_change_rus,word_mon_dd_sc.rule,19486412400,3.861185009826581,
kb_change_rus,word_pd.rule,172379802,3.861185009826581,
kb_change_rus,word_sc_dd.rule,1498954800,3.861185009826581,
kb_change_rus,word_sc_year.rule,1201662098,3.861185009826581,
kb_change_rus,word_year.rule,324773540,3.861185009826581,
kb_change_rus,word_year_mon.rule,2400825938,3.861185009826581,
kb_change_rus,word_year_sc.rule,10692544240,3.861185009826581,
kb_change_rus,year_sc_word.rule,1623867700,3.861185009826581,
kb_change_rus,year_word.rule,324773540,3.861185009826581,
kb_change_rus,year_word_sc.rule,1299094160,3.861185009826581,
kb_rus_adj_fem,1-0_sc_word.rule,1189861,3.861185009826581,
kb_rus_adj_fem,1-0_word.rule,290210,3.861185009826581,
kb_rus_adj_fem,day_cc_word.rule,899651,3.861185009826581,
kb_rus_adj_fem,day_dd_word.rule,89965100,3.861185009826581,
kb_rus_adj_fem,day_mon_dd_word.rule,1059963004,3.861185009826581,
kb_rus_adj_fem,day_word.rule,899651,3.861185009826581,
kb_rus_adj_fem,day_word_dd.rule,89965100,3.861185009826581,
kb_rus_adj_fem,day_word_sc.rule,4498255,3.861185009826581,
kb_rus_adj_fem,day_word_year.rule,149167940,3.861185009826581,
kb_rus_adj_fem,dddd_word.rule,290210000,3.861185009826581,
kb_rus_adj_fem,ddd_word.rule,29021000,3.861185009826581,
kb_rus_adj_fem,dd_word.rule,2902100,3.861185009826581,
kb_rus_adj_fem,d_sc_word.rule,1451050,3.861185009826581,
kb_rus_adj_fem,d_word.rule,290210,3.861185009826581,
kb_rus_adj_fem,sc_dddd_word.rule,1451050000,3.861185009826581,
kb_rus_adj_fem,sc_dd_word.rule,14510500,3.861185009826581,
kb_rus_adj_fem,sc_word_d.rule,1160840,3.861185009826581,
kb_rus_adj_fem,sc_word_dd_mon_sc.rule,150909200,3.861185009826581,
kb_rus_adj_fem,sc_word_dd_sc.rule,11608400,3.861185009826581,
kb_rus_adj_fem,sc_word_mon_day_sc.rule,48290944,3.861185009826581,
kb_rus_adj_fem,sc_word_year.rule,15090920,3.861185009826581,
kb_rus_adj_fem,sc_word_year_sc.rule,15090920,3.861185009826581,
kb_rus_adj_fem,sc_year_word.rule,18863650,3.861185009826581,
kb_rus_adj_fem,word_2sc_dd.rule,20343721,3.861185009826581,
kb_rus_adj_fem,word_day_dd_mon.rule,1207302621,3.861185009826581,
kb_rus_adj_fem,word_day_mon.rule,12130778,3.861185009826581,
kb_rus_adj_fem,word_day_mon_dd.rule,1059963004,3.861185009826581,
kb_rus_adj_fem,word_day_mon_sc.rule,72610542,3.861185009826581,
kb_rus_adj_fem,word_day_mon_year.rule,539790600,3.861185009826581,
kb_rus_adj_fem,word_dd.rule,2902100,3.861185009826581,
kb_rus_adj_fem,word_ddd.rule,29021000,3.861185009826581,
kb_rus_adj_fem,word_dddd.rule,290210000,3.861185009826581,
kb_rus_adj_fem,word_ddd_sc.rule,203176021,3.861185009826581,
kb_rus_adj_fem,word_dd_2sc.rule,20314700,3.861185009826581,
kb_rus_adj_fem,word_dd_age.rule,32503520,3.861185009826581,
kb_rus_adj_fem,word_dd_age_sc.rule,194846994,3.861185009826581,
kb_rus_adj_fem,word_dd_sc.rule,20343721,3.861185009826581,
kb_rus_adj_fem,word_mon_dd.rule,37756321,3.861185009826581,
kb_rus_adj_fem,word_mon_dd_sc.rule,226363800,3.861185009826581,
kb_rus_adj_fem,word_pd.rule,2002449,3.861185009826581,
kb_rus_adj_fem,word_sc_dd.rule,17412600,3.861185009826581,
kb_rus_adj_fem,word_sc_year.rule,13959101,3.861185009826581,
kb_rus_adj_fem,word_year.rule,3772730,3.861185009826581,
kb_rus_adj_fem,word_year_mon.rule,27889181,3.861185009826581,
kb_rus_adj_fem,word_year_sc.rule,124209880,3.861185009826581,
kb_rus_adj_fem,year_sc_word.rule,18863650,3.861185009826581,
kb_rus_adj_fem,year_word.rule,3772730,3.861185009826581,
kb_rus_adj_fem,year_word_sc.rule,15090920,3.861185009826581,
kb_rus_adj_it,1-0_sc_word.rule,1189738,3.861185009826581,
kb_rus_adj_it,1-0_word.rule,290180,3.861185009826581,
kb_rus_adj_it,day_cc_word.rule,899558,3.861185009826581,
kb_rus_adj_it,day_dd_word.rule,89955800,3.861185009826581,
kb_rus_adj_it,day_mon_dd_word.rule,1059853432,3.861185009826581,
kb_rus_adj_it,day_word.rule,899558,3.861185009826581,
kb_rus_adj_it,day_word_dd.rule,89955800,3.861185009826581,
kb_rus_adj_it,day_word_sc.rule,4497790,3.861185009826581,
kb_rus_adj_it,day_word_year.rule,149152520,3.861185009826581,
kb_rus_adj_it,dddd_word.rule,290180000,3.861185009826581,
kb_rus_adj_it,ddd_word.rule,29018000,3.861185009826581,
kb_rus_adj_it,dd_word.rule,2901800,3.861185009826581,
kb_rus_adj_it,d_sc_word.rule,1450900,3.861185009826581,
kb_rus_adj_it,d_word.rule,290180,3.861185009826581,
kb_rus_adj_it,sc_dddd_word.rule,1450900000,3.861185009826581,
kb_rus_adj_it,sc_dd_word.rule,14509000,3.861185009826581,
kb_rus_adj_it,sc_word_d.rule,1160720,3.861185009826581,
kb_rus_adj_it,sc_word_dd_mon_sc.rule,150893600,3.861185009826581,
kb_rus_adj_it,sc_word_dd_sc.rule,11607200,3.861185009826581,
kb_rus_adj_it,sc_word_mon_day_sc.rule,48285952,3.861185009826581,
kb_rus_adj_it,sc_word_year.rule,15089360,3.861185009826581,
kb_rus_adj_it,sc_word_year_sc.rule,15089360,3.861185009826581,
kb_rus_adj_it,sc_year_word.rule,18861700,3.861185009826581,
kb_rus_adj_it,word_2sc_dd.rule,20341618,3.861185009826581,
kb_rus_adj_it,word_day_dd_mon.rule,1207177818,3.861185009826581,
kb_rus_adj_it,word_day_mon.rule,12129524,3.861185009826581,
kb_rus_adj_it,word_day_mon_dd.rule,1059853432,3.861185009826581,
kb_rus_adj_it,word_day_mon_sc.rule,72603036,3.861185009826581,
kb_rus_adj_it,word_day_mon_year.rule,539734800,3.861185009826581,
kb_rus_adj_it,word_dd.rule,2901800,3.861185009826581,
kb_rus_adj_it,word_ddd.rule,29018000,3.861185009826581,
kb_rus_adj_it,word_dddd.rule,290180000,3.861185009826581,
kb_rus_adj_it,word_ddd_sc.rule,203155018,3.861185009826581,
kb_rus_adj_it,word_dd_2sc.rule,20312600,3.861185009826581,
kb_rus_adj_it,word_dd_age.rule,32500160,3.861185009826581,
kb_rus_adj_it,word_dd_age_sc.rule,194826852,3.861185009826581,
kb_rus_adj_it,word_dd_sc.rule,20341618,3.861185009826581,
kb_rus_adj_it,word_mon_dd.rule,37752418,3.861185009826581,
kb_rus_adj_it,word_mon_dd_sc.rule,226340400,3.861185009826581,
kb_rus_adj_it,word_pd.rule,2002242,3.861185009826581,
kb_rus_adj_it,word_sc_dd.rule,17410800,3.861185009826581,
kb_rus_adj_it,word_sc_year.rule,13957658,3.861185009826581,
kb_rus_adj_it,word_year.rule,3772340,3.861185009826581,
kb_rus_adj_it,word_year_mon.rule,27886298,3.861185009826581,
kb_rus_adj_it,word_year_sc.rule,124197040,3.861185009826581,
kb_rus_adj_it,year_sc_word.rule,18861700,3.861185009826581,
kb_rus_adj_it,year_word.rule,3772340,3.861185009826581,
kb_rus_adj_it,year_word_sc.rule,15089360,3.861185009826581,
kb_rus_adj_male,1-0_sc_word.rule,1204498,3.861185009826581,
kb_rus_adj_male,1-0_word.rule,293780,3.861185009826581,
kb_rus_adj_male,day_cc_word.rule,910718,3.861185009826581,
kb_rus_adj_male,day_dd_word.rule,91071800,3.861185009826581,
kb_rus_adj_male,day_mon_dd_word.rule,1073002072,3.861185009826581,
kb_rus_adj_male,day_word.rule,910718,3.861185009826581,
kb_rus_adj_male,day_word_dd.rule,91071800,3.861185009826581,
kb_rus_adj_male,day_word_sc.rule,4553590,3.861185009826581,
kb_rus_adj_male,day_word_year.rule,151002920,3.861185009826581,
kb_rus_adj_male,dddd_word.rule,293780000,3.861185009826581,
kb_rus_adj_male,ddd_word.rule,29378000,3.861185009826581,
kb_rus_adj_male,dd_word.rule,2937800,3.861185009826581,
kb_rus_adj_male,d_sc_word.rule,1468900,3.861185009826581,
kb_rus_adj_male,d_word.rule,293780,3.861185009826581,
kb_rus_adj_male,sc_dddd_word.rule,1468900000,3.861185009826581,
kb_rus_adj_male,sc_dd_word.rule,14689000,3.861185009826581,
kb_rus_adj_male,sc_word_d.rule,1175120,3.861185009826581,
kb_rus_adj_male,sc_word_dd_mon_sc.rule,152765600,3.861185009826581,
kb_rus_adj_male,sc_word_dd_sc.rule,11751200,3.861185009826581,
kb_rus_adj_male,sc_word_mon_day_sc.rule,48884992,3.861185009826581,
kb_rus_adj_male,sc_word_year.rule,15276560,3.861185009826581,
kb_rus_adj_male,sc_word_year_sc.rule,15276560,3.861185009826581,
kb_rus_adj_male,sc_year_word.rule,19095700,3.861185009826581,
kb_rus_adj_male,word_2sc_dd.rule,20593978,3.861185009826581,
kb_rus_adj_male,word_day_dd_mon.rule,1222154178,3.861185009826581,
kb_rus_adj_male,word_day_mon.rule,12280004,3.861185009826581,
kb_rus_adj_male,word_day_mon_dd.rule,1073002072,3.861185009826581,
kb_rus_adj_male,word_day_mon_sc.rule,73503756,3.861185009826581,
kb_rus_adj_male,word_day_mon_year.rule,546430800,3.861185009826581,
kb_rus_adj_male,word_dd.rule,2937800,3.861185009826581,
kb_rus_adj_male,word_ddd.rule,29378000,3.861185009826581,
kb_rus_adj_male,word_dddd.rule,293780000,3.861185009826581,
kb_rus_adj_male,word_ddd_sc.rule,205675378,4.5845123154323675,
kb_rus_adj_male,word_dd_2sc.rule,20564600,3.861185009826581,
kb_rus_adj_male,word_dd_age.rule,32903360,3.861185009826581,
kb_rus_adj_male,word_dd_age_sc.rule,197243892,3.861185009826581,
kb_rus_adj_male,word_dd_sc.rule,20593978,3.861185009826581,
kb_rus_adj_male,word_mon_dd.rule,38220778,3.861185009826581,
kb_rus_adj_male,word_mon_dd_sc.rule,229148400,3.861185009826581,
kb_rus_adj_male,word_pd.rule,2027082,3.861185009826581,
kb_rus_adj_male,word_sc_dd.rule,17626800,3.861185009826581,
kb_rus_adj_male,word_sc_year.rule,14130818,3.861185009826581,
kb_rus_adj_male,word_year.rule,3819140,3.861185009826581,
kb_rus_adj_male,word_year_mon.rule,28232258,3.861185009826581,
kb_rus_adj_male,word_year_sc.rule,125737840,3.861185009826581,
kb_rus_adj_male,year_sc_word.rule,19095700,3.861185009826581,
kb_rus_adj_male,year_word.rule,3819140,3.861185009826581,
kb_rus_adj_male,year_word_sc.rule,15276560,3.861185009826581,
kb_rus_adj_mul,1-0_sc_word.rule,1252714,3.861185009826581,
kb_rus_adj_mul,1-0_word.rule,305540,3.861185009826581,
kb_rus_adj_mul,day_cc_word.rule,947174,3.861185009826581,
kb_rus_adj_mul,day_dd_word.rule,94717400,3.861185009826581,
kb_rus_adj_mul,day_mon_dd_word.rule,1115954296,3.861185009826581,
kb_rus_adj_mul,day_word.rule,947174,3.861185009826581,
kb_rus_adj_mul,day_word_dd.rule,94717400,3.861185009826581,
kb_rus_adj_mul,day_word_sc.rule,4735870,3.861185009826581,
kb_rus_adj_mul,day_word_year.rule,157047560,3.861185009826581,
kb_rus_adj_mul,dddd_word.rule,305540000,3.861185009826581,
kb_rus_adj_mul,ddd_word.rule,30554000,3.861185009826581,
kb_rus_adj_mul,dd_word.rule,3055400,3.861185009826581,
kb_rus_adj_mul,d_sc_word.rule,1527700,3.861185009826581,
kb_rus_adj_mul,d_word.rule,305540,3.861185009826581,
kb_rus_adj_mul,sc_dddd_word.rule,1527700000,3.861185009826581,
kb_rus_adj_mul,sc_dd_word.rule,15277000,3.861185009826581,
kb_rus_adj_mul,sc_word_d.rule,1222160,3.861185009826581,
kb_rus_adj_mul,sc_word_dd_mon_sc.rule,158880800,3.861185009826581,
